x-axis,1,2,3
second,Volt,Volt,Volt
-115.200000E-03,,,
-115.196900E-03,,,
-115.193800E-03,,,
-115.190700E-03,,,
-115.187600E-03,,,
-115.184500E-03,,,
-115.181400E-03,,,
-115.178300E-03,,,
-115.175200E-03,,,
-115.172100E-03,,,
-115.169000E-03,,,
-115.165900E-03,,,
-115.162800E-03,,,
-115.159700E-03,,,
-115.156600E-03,,,
-115.153500E-03,,,
-115.150400E-03,,,
-115.147300E-03,,,
-115.144200E-03,,,
-115.141100E-03,,,
-115.138000E-03,,,
-115.134900E-03,,,
-115.131800E-03,,,
-115.128700E-03,,,
-115.125600E-03,,,
-115.122500E-03,,,
-115.119400E-03,,,
-115.116300E-03,,,
-115.113200E-03,,,
-115.110100E-03,,,
-115.107000E-03,,,
-115.103900E-03,,,
-115.100800E-03,,,
-115.097700E-03,,,
-115.094600E-03,,,
-115.091500E-03,,,
-115.088400E-03,,,
-115.085300E-03,,,
-115.082200E-03,,,
-115.079100E-03,,,
-115.076000E-03,,,
-115.072900E-03,,,
-115.069800E-03,,,
-115.066700E-03,,,
-115.063600E-03,,,
-115.060500E-03,,,
-115.057400E-03,,,
-115.054300E-03,,,
-115.051200E-03,,,
-115.048100E-03,,,
-115.045000E-03,,,
-115.041900E-03,,,
-115.038800E-03,,,
-115.035700E-03,,,
-115.032600E-03,,,
-115.029500E-03,,,
-115.026400E-03,,,
-115.023300E-03,,,
-115.020200E-03,,,
-115.017100E-03,,,
-115.014000E-03,,,
-115.010900E-03,,,
-115.007800E-03,,,
-115.004700E-03,,,
-115.001600E-03,,,
-114.998500E-03,,,
-114.995400E-03,,,
-114.992300E-03,,,
-114.989200E-03,,,
-114.986100E-03,,,
-114.983000E-03,,,
-114.979900E-03,,,
-114.976800E-03,,,
-114.973700E-03,,,
-114.970600E-03,,,
-114.967500E-03,,,
-114.964400E-03,,,
-114.961300E-03,,,
-114.958200E-03,,,
-114.955100E-03,,,
-114.952000E-03,,,
-114.948899E-03,,,
-114.945799E-03,,,
-114.942699E-03,,,
-114.939599E-03,,,
-114.936499E-03,,,
-114.933399E-03,,,
-114.930299E-03,,,
-114.927199E-03,,,
-114.924099E-03,,,
-114.920999E-03,,,
-114.917899E-03,,,
-114.914799E-03,,,
-114.911699E-03,,,
-114.908599E-03,,,
-114.905499E-03,,,
-114.902399E-03,,,
-114.899299E-03,,,
-114.896199E-03,,,
-114.893099E-03,,,
-114.889999E-03,,,
-114.886899E-03,,,
-114.883799E-03,,,
-114.880699E-03,,,
-114.877599E-03,,,
